bga_id,bga_name,bgg_id,status,note
1583,Rolling Pins,353799,kept,
1759,Ticket Gagnant,53330,kept,
1819,Colorado,366397,kept,
1821,Timeline Twist,379290,kept,
1870,DVONN,2346,kept,
2197,Dédale,418954,kept,
1002,Spyrium,137269,kept,
1342,Vulture Culture,175,kept,
1345,Chicago Express,31730,kept,
1351,Sheep Boom Bah,259310,kept,
1375,Uptown,29073,kept,
1419,Troyes Dice,284584,kept,
1522,Chimera Station,163642,kept,
1525,The Mother Road: Route 66,344268,kept,
1570,Splito,359878,kept,
1844,Terra Nova,364186,kept,
2074,Expressions,402337,kept,
2183,Superstore 3000,427084,kept,
2400,Tsukuru Ten Ten,438523,kept,
2473,Limit,439306,kept,
2538,Quest Inc.,392465,kept,
2543,Good Fortune,459170,kept,
2626,Positano,383190,kept,
74,Checkers,2083,remapped,
1030,Battle of LITS,105265,kept,
1085,Secret Moon,162660,kept,
1212,Small Islands,236248,kept,
1291,Caravan,269789,kept,
1672,The Gnomes of Zavandor,103184,kept,
2266,Living Forest Duel,427260,kept,
2306,Cassino,18121,kept,
2431,Snorkeling,448620,kept,
2453,Memory,7688,kept,
1014,Koryŏ,,dropped-placeholder,
1452,District Noir,216497,kept,
1758,Qawale,368465,kept,
1133,Briscola,11733,kept,
1535,Little Factory,306300,kept,
1607,Regidice,350604,kept,
1728,Vegetable Stock,328211,kept,
1936,Boreal,400266,kept,
1937,Word Traveler,400508,kept,
2095,Tulip & Rose,328378,kept,
2192,Splitter,349131,kept,
2411,Moonlight: The Land of the Wolves,441731,kept,
2448,The Last Droids,438417,kept,
2459,Asteria,392461,kept,
1087,Nine Men's Morris,3886,kept,
1126,Hypnosia,,dropped-placeholder,
1590,Baby Dinosaur Rescue,352375,kept,
1601,Gangsta!,282475,kept,
1602,Garden Nation,341245,kept,
1721,Go Goa,344685,kept,
1765,Big Two,13597,kept,
1800,On Tour,251412,kept,
2049,Claim,233961,kept,
2422,Congkak,255613,kept,
2641,Crits & Tricks,436907,kept,
1197,Barbu,6974,kept,
1206,Room 25,127024,kept,
1415,Durak,29351,kept,
1508,Samarkand,364,kept,
1576,Get on Board: New York & London,347013,kept,
2010,Chu Han,288558,kept,
2219,Nibble,325421,kept,
2224,Biomes of Nilgiris,393880,kept,
2270,Mythicals the boardgame,431304,kept,
2409,13 Leaves,434442,kept,
2673,Game of Trains,180602,kept,
1243,Pinochle,4583,kept,
1245,Fleet,121297,kept,
1358,Bao la Kiswahili,14186,kept,
1389,Mattock,320505,kept,
1464,Nicodemus,334644,kept,
1515,Homeworlds,14634,kept,
1774,Get on Board: Paris & Roma,380105,kept,
1775,Hawaiian Hanafuda,221053,kept,
1813,Mighty,172998,kept,
1929,Forever Home,385999,kept,
2544,Charuma,446530,kept,
1007,Hex,4112,kept,
1151,Dragon Castle,232219,kept,
1474,Clash of Decks,308500,kept,
1552,Arctic Scavengers,41933,kept,
1814,Envelopes of Cash,355467,kept,
1863,Piepmatz: Little Songbirds,246200,kept,
1896,Shogi,2065,kept,
1990,Dobro,357991,kept,
2019,Greasy Spoon,386188,kept,
2034,Mega Jackpot,419262,kept,
2238,Love Links,336934,kept,
2523,Spy World,454696,kept,
51,Cinco,87288,kept,
1308,Blue Skies,309000,kept,
1469,Art Decko,260316,kept,
1555,Noah,116858,kept,
1556,Minhwatu,,dropped-override,
1600,Strands,364343,kept,
1650,Drones vs Seagulls,354842,kept,
1724,Ultimate Tic-Tac-Toe,42336,kept,
1835,Schnapsen,11582,kept,
1876,Orion Duel,380134,kept,
1905,Hachihachi,57536,kept,
2331,SUPER,418036,kept,
2404,Mystling Academy,446426,kept,
2469,Fox on the Tree,442146,kept,
2632,Sea Shells,453737,kept,
1306,Squadro,245222,kept,
1545,Tucano,318556,kept,
1618,Dots and Boxes,17106,kept,
1633,Go Fish,7682,kept,
1647,Herd,369336,kept,
1689,Vaalbara,361241,kept,
1760,Okanagan: Valley of the Lakes,230089,kept,
1861,101: the match,340816,kept,
